Date, Open, High, Low, Close, Total Volume, UnAdjusted Close
19840531,796.90000000,796.90000000,796.90000000,796.90000000,       0,796.90000000
19840601,824.50000000,824.50000000,824.50000000,824.50000000,       0,824.50000000
19840604,843.30000000,843.30000000,843.30000000,843.30000000,       0,843.30000000
19840605,840.10000000,840.10000000,840.10000000,840.10000000,       0,840.10000000
19840606,846.50000000,846.50000000,846.50000000,846.50000000,       0,846.50000000
19840607,833.20000000,833.20000000,833.20000000,833.20000000,       0,833.20000000
19840608,831.40000000,831.40000000,831.40000000,831.40000000,       0,831.40000000
19840611,838.10000000,838.10000000,838.10000000,838.10000000,       0,838.10000000
19840612,834.10000000,834.10000000,834.10000000,834.10000000,       0,834.10000000
19840613,834.50000000,834.50000000,834.50000000,834.50000000,       0,834.50000000
19840614,816.20000000,816.20000000,816.20000000,816.20000000,       0,816.20000000
19840615,815.80000000,815.80000000,815.80000000,815.80000000,       0,815.80000000
19840618,821.20000000,821.20000000,821.20000000,821.20000000,       0,821.20000000
19840619,832.20000000,832.20000000,832.20000000,832.20000000,       0,832.20000000
19840620,814.90000000,814.90000000,814.90000000,814.90000000,       0,814.90000000
19840621,819.10000000,819.10000000,819.10000000,819.10000000,       0,819.10000000
19840622,811.70000000,811.70000000,811.70000000,811.70000000,       0,811.70000000
19840625,812.70000000,812.70000000,812.70000000,812.70000000,       0,812.70000000
19840626,803.90000000,803.90000000,803.90000000,803.90000000,       0,803.90000000
19840627,816.20000000,816.20000000,816.20000000,816.20000000,       0,816.20000000
19840628,807.10000000,807.10000000,807.10000000,807.10000000,       0,807.10000000
19840629,817.90000000,817.90000000,817.90000000,817.90000000,       0,817.90000000
19840702,822.10000000,822.10000000,822.10000000,822.10000000,       0,822.10000000
19840703,821.30000000,821.30000000,821.30000000,821.30000000,       0,821.30000000
19840704,834.10000000,834.10000000,834.10000000,834.10000000,       0,834.10000000
19840705,833.50000000,833.50000000,833.50000000,833.50000000,       0,833.50000000
19840706,819.30000000,819.30000000,819.30000000,819.30000000,       0,819.30000000
19840709,811.60000000,811.60000000,811.60000000,811.60000000,       0,811.60000000
19840710,793.00000000,793.00000000,793.00000000,793.00000000,       0,793.00000000
19840711,782.00000000,782.00000000,782.00000000,782.00000000,       0,782.00000000
19840712,771.10000000,771.10000000,771.10000000,771.10000000,       0,771.10000000
19840713,770.70000000,770.70000000,770.70000000,770.70000000,       0,770.70000000
19840716,775.00000000,775.00000000,775.00000000,775.00000000,       0,775.00000000
19840717,770.50000000,770.50000000,770.50000000,770.50000000,       0,770.50000000
19840718,769.80000000,769.80000000,769.80000000,769.80000000,       0,769.80000000
19840719,764.70000000,764.70000000,764.70000000,764.70000000,       0,764.70000000
19840720,776.20000000,776.20000000,776.20000000,776.20000000,       0,776.20000000
19840723,755.30000000,755.30000000,755.30000000,755.30000000,       0,755.30000000
19840724,763.50000000,763.50000000,763.50000000,763.50000000,       0,763.50000000
19840725,770.20000000,770.20000000,770.20000000,770.20000000,       0,770.20000000
19840726,777.50000000,777.50000000,777.50000000,777.50000000,       0,777.50000000
19840727,776.40000000,776.40000000,776.40000000,776.40000000,       0,776.40000000
